XIMEA code samples list;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
Sample name;Author;Tomas_category;Description;Duplicate_group_ID;OS platform;Hardware platform;API type;Programming language;Libraries;Year of last update;Location;Path;Copyright;Note;Done?
FrameNumber.lua;XIMEA;Save images / video / sequences;This code captures images from a camera and saves them with their frame numbers as filenames.;;Cross-Platform;Cross-Platform;xiApi;LUA;;2022;Files;\\files\Public\Support\samples\Lua_test\FrameNumber.lua;;;
ImgToFile_date.lua;XIMEA;Save images / video / sequences;Captures images continuously from a camera and saves them as dated JPEG files.;;Cross-Platform;Cross-Platform;xiApi;LUA;;2022;Files;\\files\Public\Support\samples\Lua_test\ImgToFile_date.lua;;;
self_triggering_trick.lua;XIMEA;Trigger / GPIO / I/O / strobe;It configures a camera for hardware triggering and captures an image during a specified exposure time.;19;Cross-Platform;Cross-Platform;xiApi;LUA;;2024;Files;\\files\Public\Support\samples\Lua_test\self_triggering_trick.lua;;;
52719ExposureActive.m;XIMEA;Basic acquisition / image capture;This code configures a Gentl camera to capture 50 frames with a set exposure time and triggers grab start.;;Cross-Platform;Cross-Platform;GenTL;MATLAB;;2017;Files;\\files\Public\Support\samples\Matlab\52719ExposureActive.m;;;
ASML_Matlab_GenTL.m;XIMEA;Basic acquisition / image capture;Captures a Bayer-pattern image, separates it into color channels, optionally applies 2x2 binning, and saves them.;;Cross-Platform;Cross-Platform;GenTL;MATLAB;;2025;Files;\\files\Public\Support\samples\Matlab\ASML_Matlab_GenTL.m;;;
Capture_data2.m;XIMEA;Basic acquisition / image capture;This code captures 4096 images from a camera, processes them into uint16 format, and previews each image.;;Cross-Platform;Cross-Platform;GenTL;MATLAB;;2017;Files;\\files\Public\Support\samples\Matlab\Capture_data2.m;;;
ExposureActive_52719.m;XIMEA;Feature / parameter control;This code initializes a video input object, sets camera exposure and line output configurations, and starts video capture.;;Cross-Platform;Cross-Platform;GenTL;MATLAB;;2017;Files;\\files\Public\Support\samples\Matlab\ExposureActive_52719.m;;;
ExposureTime_52790.m;XIMEA;Feature / parameter control;Adjusts and previews different camera exposure times and acquisition frame rates using a video input object.;;Cross-Platform;Cross-Platform;GenTL;MATLAB;;2017;Files;\\files\Public\Support\samples\Matlab\ExposureTime_52790.m;;;
GenTL_Enum_Test.m;XIMEA;Camera enumeration / discover connected cameras;This code enumerates and tests supported video formats for Gentl devices, logging results to a file.;;Cross-Platform;Cross-Platform;GenTL;MATLAB;;2017;Files;\\files\Public\Support\samples\Matlab\GenTL_Enum_Test.m;;;
GenTL_Enum_standAlone.m;XIMEA;Camera enumeration / discover connected cameras;Enumerates Gentl camera devices and tests supported video formats, optionally filtering by serial number.;;Cross-Platform;Cross-Platform;GenTL;MATLAB;;2017;Files;\\files\Public\Support\samples\Matlab\GenTL_Enum_standAlone.m;;;
GenTL_FFC.m;XIMEA;Flat-field / shading / calibration correction;This sample calibrates and applies per-pixel offset and gain corrections to camera images using dark and grey TIFF references.;;Cross-Platform;Cross-Platform;GenTL;MATLAB;;2026;Files;\\files\Public\Support\samples\Matlab\GenTL_FFC.m;;;
GenTL_GetSet_Test.m;XIMEA;Feature / parameter control;This code tests getting and setting all properties of a GenTL video source object multiple times.;;Cross-Platform;Cross-Platform;GenTL;MATLAB;;2017;Files;\\files\Public\Support\samples\Matlab\GenTL_GetSet_Test.m;;;
HWtrigger_MC.m;XIMEA;Basic acquisition / image capture;This code captures and displays 10 hardware-triggered grayscale camera frames using image acquisition toolbox.;;Cross-Platform;Cross-Platform;GenTL;MATLAB;;2017;Files;\\files\Public\Support\samples\Matlab\HWtrigger_MC.m;;;
HighFPS.m;XIMEA;Basic acquisition / image capture;This MATLAB code captures high frame rate video from a camera and calculates the achieved frames per second.;20;Cross-Platform;Cross-Platform;GenTL;MATLAB;;2016;Files;\\files\Public\Support\samples\Matlab\HighFPS.m;;;
Load_raw.m;XIMEA;Basic acquisition / image capture;Loads and reshapes a raw image file for display with intensity range 0 to 255.;;Cross-Platform;Cross-Platform;GenTL;MATLAB;;2016;Files;\\files\Public\Support\samples\Matlab\Load_raw.m;;;
showPreview.m;XIMEA;GUI / live viewer / display;Shows a live preview of images from a camera for a specified number of frames in various formats.;;Cross-Platform;Cross-Platform;GenTL;MATLAB;;2017;Files;\\files\Public\Support\samples\Matlab\ML_xiApiNET_preview\showPreview.m;;;
xiAPINET_allFormats.m;XIMEA;Basic acquisition / image capture;Initializes and configures a XIMEA camera to capture and preview 500 RGB24 format frames.;21;Cross-Platform;Cross-Platform;GenTL;MATLAB;;2017;Files;\\files\Public\Support\samples\Matlab\ML_xiApiNET_preview\xiAPINET_allFormats.m;;;
MQ_GPO.m;XIMEA;Feature / parameter control;This code configures and starts a video input camera with specific exposure and frame rate settings.;;Cross-Platform;Cross-Platform;GenTL;MATLAB;;2019;Files;\\files\Public\Support\samples\Matlab\MQ_GPO.m;;;
MU_GPIO.m;XIMEA;Trigger / GPIO / I/O / strobe;Sets up and configures a hardware-triggered mono camera video input with specific exposure time.;;Cross-Platform;Cross-Platform;GenTL;MATLAB;;2018;Files;\\files\Public\Support\samples\Matlab\MU_GPIO.m;;;
RAW16_to_channels_do_drive_NET.m;XIMEA;Basic acquisition / image capture;This code captures RAW16 images with a camera, extracts and saves separate Bayer pattern color channels as TIFF files.;22;Cross-Platform;Cross-Platform;GenTL;MATLAB;;2025;Files;\\files\Public\Support\samples\Matlab\RAW16_to_channels_do_drive_NET.m;;;
RAW16_to_channels_to_drive_GENTL.m;XIMEA;Basic acquisition / image capture;Captures a raw BayerGB16 image, extracts its four color channels, and saves them as separate TIFF files.;22;Cross-Platform;Cross-Platform;GenTL;MATLAB;;2025;Files;\\files\Public\Support\samples\Matlab\RAW16_to_channels_to_drive_GENTL.m;;;
TestAcquisition.m;XIMEA;Basic acquisition / image capture;Configures a camera to capture 10 frames, retrieves the data, and logs success or error message.;;Cross-Platform;Cross-Platform;GenTL;MATLAB;;2017;Files;\\files\Public\Support\samples\Matlab\TestAcquisition.m;;;
find_mesh2.m;XIMEA;AI / inference / detection / classification;This code applies Gabor filters to an image to detect and extract the largest mesh-like structure.;;Cross-Platform;Cross-Platform;GenTL;MATLAB;;2021;Files;\\files\Public\Support\samples\Matlab\find_mesh2.m;;;
find_mesh3.m;XIMEA;Basic acquisition / image capture;Performs frequency domain filtering to enhance and detect edges in a tiled image reconstruction.;;Cross-Platform;Cross-Platform;GenTL;MATLAB;;2021;Files;\\files\Public\Support\samples\Matlab\find_mesh3.m;;;
find_mesh4_adaptThresh.m;XIMEA;Feature / parameter control;Performs adaptive thresholding on a Fourier-filtered image to create a binary pixel map highlighting mesh features.;;Cross-Platform;Cross-Platform;GenTL;MATLAB;;2021;Files;\\files\Public\Support\samples\Matlab\find_mesh4_adaptThresh.m;;;
showPreview.m;XIMEA;GUI / live viewer / display;Displays and previews images from a camera in MATLAB for multiple frames with different image formats.;;Cross-Platform;Cross-Platform;GenTL;MATLAB;;2019;Files;\\files\Public\Support\samples\Matlab\showPreview.m;;;
simple_fps_test.m;XIMEA;Basic acquisition / image capture;This code captures 500 video frames and calculates the actual frames per second (FPS) acquired.;20;Cross-Platform;Cross-Platform;GenTL;MATLAB;;2018;Files;\\files\Public\Support\samples\Matlab\simple_fps_test.m;;;
simple_fps_test_ROI.m;XIMEA;Basic acquisition / image capture;This code configures a video input object and measures the actual frames per second during acquisition.;20;Cross-Platform;Cross-Platform;GenTL;MATLAB;;2018;Files;\\files\Public\Support\samples\Matlab\simple_fps_test_ROI.m;;;
taylor_ximea_test_script_EDITED.m;XIMEA;Basic acquisition / image capture;This code configures and captures video frames from a camera with auto exposure and gain control.;;Cross-Platform;Cross-Platform;GenTL;MATLAB;;2018;Files;\\files\Public\Support\samples\Matlab\taylor_ximea_test_script_EDITED.m;;;
test2cam_ROI.m;XIMEA;Multi-camera acquisition;Initializes and previews two Ximea camera video streams with specified ROI and frame rates in MATLAB.;;Cross-Platform;Cross-Platform;GenTL;MATLAB;;2017;Files;\\files\Public\Support\samples\Matlab\test2cam_ROI.m;;;
test_data.m;XIMEA;Basic acquisition / image capture;This code captures and displays a single grayscale image from a Gentl camera with a set exposure time.;;Cross-Platform;Cross-Platform;GenTL;MATLAB;;2017;Files;\\files\Public\Support\samples\Matlab\test_data.m;;;
xiAPINET_GetSet.m;XIMEA;Basic acquisition / image capture;This code captures an image from an XIMEA camera using xiApi.NET and displays it in MATLAB.;23;Cross-Platform;Cross-Platform;GenTL;MATLAB;;2017;Files;\\files\Public\Support\samples\Matlab\xiAPINET_GetSet.m;;;
xiAPINET_Matlab_sample.m;XIMEA;GUI / live viewer / display;The sample captures and displays live camera frames with configurable image formats using the XIMEA .NET API in MATLAB.;;Cross-Platform;Cross-Platform;GenTL;MATLAB;;2021;Files;\\files\Public\Support\samples\Matlab\xiAPINET_Matlab_sample.m;;;
xiAPINET_Matlab_sample_color.m;XIMEA;Basic acquisition / image capture;This code captures and previews color images from a XIMEA camera using the xiAPI.NET library in MATLAB.;24;Cross-Platform;Cross-Platform;GenTL;MATLAB;;2022;Files;\\files\Public\Support\samples\Matlab\xiAPINET_Matlab_sample_color.m;;;
xiAPINET_OpenDevBy.m;XIMEA;Basic acquisition / image capture;This code initializes, configures, and captures a single image from an XIMEA xiApi.NET camera.;23;Cross-Platform;Cross-Platform;GenTL;MATLAB;;2020;Files;\\files\Public\Support\samples\Matlab\xiAPINET_OpenDevBy.m;;;
xiAPINET_RAW16.m;XIMEA;GUI / live viewer / display;This code initializes a camera, acquires and displays 500 16-bit monochrome images in real-time.;;Cross-Platform;Cross-Platform;GenTL;MATLAB;;2017;Files;\\files\Public\Support\samples\Matlab\xiAPINET_RAW16.m;;;
xiAPINET_RAW8.m;XIMEA;Basic acquisition / image capture;This code captures and previews 8-bit RAW images from a XIMEA camera using the xiApi.NET library.;24;Cross-Platform;Cross-Platform;GenTL;MATLAB;;2017;Files;\\files\Public\Support\samples\Matlab\xiAPINET_RAW8.m;;;
xiAPINET_allFormats.m;XIMEA;Basic acquisition / image capture;This MATLAB code initializes and controls a XIMEA camera to capture and preview RAW16 image frames.;21;Cross-Platform;Cross-Platform;GenTL;MATLAB;;2019;Files;\\files\Public\Support\samples\Matlab\xiAPINET_allFormats.m;;;
xiAPINET_frameRate.m;XIMEA;Basic acquisition / image capture;This code measures and calculates the frame rate of image acquisition from a XIMEA camera.;;Cross-Platform;Cross-Platform;GenTL;MATLAB;;2021;Files;\\files\Public\Support\samples\Matlab\xiAPINET_frameRate.m;;;
xiAPINETpreview_MONO16_ROI.m;XIMEA;GUI / live viewer / display;This code captures and previews live RGB video feed from a XIMEA camera using MATLAB and .NET API.;;Cross-Platform;Cross-Platform;GenTL;MATLAB;;2017;Files;\\files\Public\Support\samples\Matlab\xiAPINETpreview_MONO16_ROI.m;;;
xiAPINETpreview_RGB24.m;XIMEA;GUI / live viewer / display;This code captures and displays live RGB24 video frames from a connected camera for preview.;;Cross-Platform;Cross-Platform;GenTL;MATLAB;;2017;Files;\\files\Public\Support\samples\Matlab\xiAPINETpreview_RGB24.m;;;
MC_GPI.py;XIMEA;Basic acquisition / image capture;This code captures 100 images from a Ximea camera while reading and printing the GPI port level.;;Cross-Platform;Cross-Platform;xiAPI Python wrapper;Python;ximea;2017;Files;\\files\Public\Support\samples\Python\MC_GPI.py;;;
MC_HWtrigger.py;XIMEA;Basic acquisition / image capture;This code captures and prints metadata and pixel data from 10 images using a Ximea camera.;25;Cross-Platform;Cross-Platform;xiAPI Python wrapper;Python;ximea;2019;Files;\\files\Public\Support\samples\Python\MC_HWtrigger.py;;;
MC_HWtrigger_OCVsaveImg_BlackAndWhite.py;XIMEA;Basic acquisition / image capture;This code captures and saves an image from a XIMEA camera using hardware trigger settings.;25;Cross-Platform;Cross-Platform;xiAPI Python wrapper;Python;cv2, ximea;2017;Files;\\files\Public\Support\samples\Python\MC_HWtrigger_OCVsaveImg_BlackAndWhite.py;;;
MU181_HWtrigger.py;XIMEA;Basic acquisition / image capture;This code captures and prints metadata and pixel data from ten images using a XIMEA camera with hardware trigger.;25;Cross-Platform;Cross-Platform;xiAPI Python wrapper;Python;ximea;2020;Files;\\files\Public\Support\samples\Python\MU181_HWtrigger.py;;;
MX_HWtrigger.py;XIMEA;Trigger / GPIO / I/O / strobe;This code captures and prints metadata for 10 images from a connected Ximea camera using hardware triggering.;19;Cross-Platform;Cross-Platform;xiAPI Python wrapper;Python;ximea;2022;Files;\\files\Public\Support\samples\Python\MX_HWtrigger.py;;;
example_2cameras_SWtrigger.py;XIMEA;Basic acquisition / image capture;This code captures synchronized images with adjustable exposure settings from two cameras triggered by software.;;Cross-Platform;Cross-Platform;xiAPI Python wrapper;Python;time, ximea;2018;Files;\\files\Public\Support\samples\Python\example_2cameras_SWtrigger.py;;;
example_APIskipped.py;XIMEA;Basic acquisition / image capture;This code captures 120 monochrome images from a Ximea camera and measures frame rate and skipped frames.;;Cross-Platform;Cross-Platform;xiAPI Python wrapper;Python;PIL, numpy, time, ximea;2019;Files;\\files\Public\Support\samples\Python\example_APIskipped.py;;;
example_FrameRate_Python3.py;XIMEA;Basic acquisition / image capture;Captures 120 grayscale frames from a camera and calculates the frame rate in frames per second.;20;Cross-Platform;Cross-Platform;xiAPI Python wrapper;Python;PIL, numpy, time, ximea;2018;Files;\\files\Public\Support\samples\Python\example_FrameRate_Python3.py;;;
example_Mono16.py;XIMEA;Basic acquisition / image capture;This code captures and prints 12-bit monochrome images from a connected Ximea camera.;;Cross-Platform;Cross-Platform;xiAPI Python wrapper;Python;ximea;2018;Files;\\files\Public\Support\samples\Python\example_Mono16.py;;;
example_SWtrigger.py;XIMEA;Trigger / GPIO / I/O / strobe;This code captures an image from a Ximea camera using software trigger and prints pixel data.;;Cross-Platform;Cross-Platform;xiAPI Python wrapper;Python;ximea;2022;Files;\\files\Public\Support\samples\Python\example_SWtrigger.py;;;
example_TimestampReset.py;XIMEA;Basic acquisition / image capture;This code captures images from a camera and resets the timestamp source during acquisition.;;Cross-Platform;Cross-Platform;xiAPI Python wrapper;Python;ximea;2019;Files;\\files\Public\Support\samples\Python\example_TimestampReset.py;;;
example_burst_maxQueue.py;XIMEA;Basic acquisition / image capture;This code acquires and processes a burst of images from a XIMEA camera using software trigger.;;Cross-Platform;Cross-Platform;xiAPI Python wrapper;Python;time, ximea;2022;Files;\\files\Public\Support\samples\Python\example_burst_maxQueue.py;;;
example_downsampl.py;XIMEA;Basic acquisition / image capture;This code captures and downsamples ten images from a connected XIMEA camera using binning.;;Cross-Platform;Cross-Platform;xiAPI Python wrapper;Python;ximea;2018;Files;\\files\Public\Support\samples\Python\example_downsampl.py;;;
example_maxQueue.py;XIMEA;Buffering / queue / host memory;This sample configures and captures images from a Ximea camera using a buffer and queue system.;;Cross-Platform;Cross-Platform;xiAPI Python wrapper;Python;time, ximea;2022;Files;\\files\Public\Support\samples\Python\example_maxQueue.py;;;
example_timeout.py;XIMEA;Basic acquisition / image capture;This code captures 10 images from a Ximea camera and prints their pixel data and metadata.;25;Cross-Platform;Cross-Platform;xiAPI Python wrapper;Python;ximea;2019;Files;\\files\Public\Support\samples\Python\example_timeout.py;;;
example_two_cameras.py;XIMEA;Multi-camera acquisition;This code captures images simultaneously from two Ximea cameras and prints their first 10 pixel values.;;Cross-Platform;Cross-Platform;xiAPI Python wrapper;Python;ximea;2018;Files;\\files\Public\Support\samples\Python\example_two_cameras.py;;;
example_two_cameras_burst.py;XIMEA;Multi-camera acquisition;Acquires and processes a burst of 30 frames simultaneously from two XIMEA cameras on the same controller.;;Cross-Platform;Cross-Platform;xiAPI Python wrapper;Python;time, ximea;2022;Files;\\files\Public\Support\samples\Python\example_two_cameras_burst.py;;;
59540-xiApiPlusOcvExample-save-jpg.cpp;XIMEA;Basic acquisition / image capture;Captures 40 images from the first camera, displays them, and saves the first 10 as JPEG files.;;Cross-Platform;Cross-Platform;xiApiPlus;C++;iomanip, iostream, sstream, xiApiPlusOcv;2025;Files;\\files\Public\Support\samples\TS-working\59540-xiApiPlusOcvExample-save-jpg.cpp;;;
59700-multiple_roi-FPS-multi-thread.py;XIMEA;Basic acquisition / image capture;Captures frames from multiple camera regions using a separate thread for high-speed acquisition and displays FPS.;;Cross-Platform;Cross-Platform;xiAPI Python wrapper;Python;threading, time, ximea;2025;Files;\\files\Public\Support\samples\TS-working\59700-multiple_roi-FPS-multi-thread.py;;;
59700-multiple_roi-FPS-single-thread.py;XIMEA;GUI / live viewer / display;Configures multiple camera regions and displays live FPS while capturing images until ESC is pressed.;;Cross-Platform;Cross-Platform;xiAPI Python wrapper;Python;time, ximea;2025;Files;\\files\Public\Support\samples\TS-working\59700-multiple_roi-FPS-single-thread.py;;;
AEAG_ROY.py;XIMEA;Basic acquisition / image capture;This code configures AEAG region of interest and captures one image from a Ximea camera.;;Cross-Platform;Cross-Platform;xiAPI Python wrapper;Python;ximea;2024;Files;\\files\Public\Support\samples\TS-working\AEAG_ROY.py;;;
MC124-multi-exposure-10k.py;XIMEA;Basic acquisition / image capture;This code captures and displays triggered grayscale images with a counter overlay using a XIMEA camera and OpenCV.;;Cross-Platform;Cross-Platform;xiAPI Python wrapper;Python;cv2, ximea;2025;Files;\\files\Public\Support\samples\TS-working\MC124-multi-exposure-10k.py;;;
PositionOfShutterLineCMV12000.cpp;XIMEA;Basic acquisition / image capture;This code captures images and retrieves the shutter line row position from a camera device.;;Cross-Platform;Cross-Platform;xiApiPlus;C++;m3api, memory, stdafx, xiApi;2024;Files;\\files\Public\Support\samples\TS-working\PositionOfShutterLineCMV12000.cpp;;;
example_openCV_video.py;XIMEA;GUI / live viewer / display;Captures video from a XIMEA camera, displays it with elapsed time overlay, and handles keyboard interrupt.;;Cross-Platform;Cross-Platform;xiAPI Python wrapper;Python;cv2, time, ximea;2024;Files;\\files\Public\Support\samples\TS-working\example_openCV_video.py;;;
mc-master-slave.cpp;XIMEA;Trigger / GPIO / I/O / strobe;This code synchronizes image capture between a master and slave camera using software triggering.;;Cross-Platform;Cross-Platform;xiApiPlus;C++;m3api, memory, stdafx, xiApi;2024;Files;\\files\Public\Support\samples\TS-working\mc-master-slave.cpp;;;
save_unmerged_data.py;XIMEA;Save images / video / sequences;This code captures raw 16-bit dual-channel images from a Ximea camera and saves them as TIFF files.;5;Cross-Platform;Cross-Platform;xiAPI Python wrapper;Python;PIL, numpy, ximea;2025;Files;\\files\Public\Support\samples\TS-working\save_unmerged_data.py;;;
unmerged_data-dual-adc.py;XIMEA;Basic acquisition / image capture;Captures dual ADC raw images from a camera, separates channels, and saves each as a 16-bit TIFF file.;;Cross-Platform;Cross-Platform;xiAPI Python wrapper;Python;PIL, numpy, ximea;2025;Files;\\files\Public\Support\samples\TS-working\unmerged_data-dual-adc.py;;;
unmerged_data.py;XIMEA;Basic acquisition / image capture;Captures a RAW16X2 image from a XIMEA camera and saves the two channels as separate TIFF files.;22;Cross-Platform;Cross-Platform;xiAPI Python wrapper;Python;PIL, numpy, ximea;2025;Files;\\files\Public\Support\samples\TS-working\unmerged_data.py;;;
ximea_opencv.py;XIMEA;GUI / live viewer / display;Captures live RGB video from a XIMEA camera and displays it in a resizable OpenCV window.;;Cross-Platform;Cross-Platform;xiAPI Python wrapper;Python;cv2, numpy, ximea;2024;Files;\\files\Public\Support\samples\TS-working\ximea_opencv.py;;;
zoomed_rawimage.py;XIMEA;Basic acquisition / image capture;Captures and saves a sequence of four RGB images from a camera using the Ximea API.;;Cross-Platform;Cross-Platform;xiAPI Python wrapper;Python;cv2, datetime, numpy, os, ximea;2025;Files;\\files\Public\Support\samples\TS-working\zoomed_rawimage.py;;;
IMX541-MC203-black-level-clamping-59929.cpp;XIMEA;Feature / parameter control;This code configures black level clamping registers and captures multiple images to measure pixel intensity averages.;;Cross-Platform;Cross-Platform;xiApiPlus;C++;m3api, memory, stdafx, xiApi;2026;Files;\\files\Public\Support\samples\xiAPI\IMX541-MC203-black-level-clamping-59929.cpp;;;
xiGenTL_swTrigg.cpp;XIMEA;Basic acquisition / image capture;Captures 50 images from a XIMEA camera using mixed xiAPI and GenTL interfaces for streaming.;;Cross-Platform;Cross-Platform;xiApiPlus;C++;chrono, inttypes, m3api, stdio, thread, xiApi, xi_GenTL;2020;Files;\\files\Public\Support\samples\xiAPI\xiGenTL_swTrigg.cpp;;;
xiProcSample.cpp;XIMEA;Basic acquisition / image capture;Captures images from a camera, then processes and outputs them offline using xiAPI and xiProcAPI.;10;Cross-Platform;Cross-Platform;xiApiPlus;C++;iostream, m3api, stdio, string, xiApi;2019;Files;\\files\Public\Support\samples\xiAPI\xiProcSample.cpp;;;
xiProcSample_DefectCorr.cpp;XIMEA;Basic acquisition / image capture;Captures images from a camera, applies offline defect correction processing, and saves the processed images.;;Cross-Platform;Cross-Platform;xiApiPlus;C++;iostream, m3api, stdio, string, xiApi;2019;Files;\\files\Public\Support\samples\xiAPI\xiProcSample_DefectCorr.cpp;;;
xiSampleDng_HDRinterleaved.cpp;XIMEA;Basic acquisition / image capture;Captures images with HDR interleaved exposure and saves them as DNG files using XIMEA camera API.;;Cross-Platform;Cross-Platform;xiApiPlus;C++;m3api, memory, stdafx, xiExt, xiapi_dng_store;2017;Files;\\files\Public\Support\samples\xiAPI\xiSampleDng_HDRinterleaved.cpp;;;
xiSample_AddRemoveDefects.cpp;XIMEA;Feature / parameter control;Adds and removes defect pixels from a user-defined defect list on a camera sensor using the XIMEA API.;26;Cross-Platform;Cross-Platform;xiApiPlus;C++;m3api, memory, stdafx, xiApi;2019;Files;\\files\Public\Support\samples\xiAPI\xiSample_AddRemoveDefects.cpp;;;
xiSample_AddRemoveDefects_needXiExt.cpp;XIMEA;Feature / parameter control;This code adds, lists, and removes defect pixels in a camera's user defect list using the XIMEA API.;26;Cross-Platform;Cross-Platform;xiApiPlus;C++;m3api, memory, stdafx, xiApi, xiExt;2019;Files;\\files\Public\Support\samples\xiAPI\xiSample_AddRemoveDefects_needXiExt.cpp;;;
xiSample_Counters.cpp;XIMEA;Basic acquisition / image capture;This code captures images from a camera and retrieves counters for transferred and skipped frames.;;Cross-Platform;Cross-Platform;xiApiPlus;C++;m3api, memory, stdafx, xiApi;2018;Files;\\files\Public\Support\samples\xiAPI\xiSample_Counters.cpp;;;
xiSample_DevManifest.cpp;XIMEA;Firmware / file access / LUT;This code retrieves and saves the camera's device manifest XML to a file named after the camera model.;;Cross-Platform;Cross-Platform;xiApiPlus;C++;m3api, memory, stdafx, xiApi;2018;Files;\\files\Public\Support\samples\xiAPI\xiSample_DevManifest.cpp;;;
xiSample_FFS_MQ.cpp;XIMEA;Firmware / file access / LUT;This code writes, reads, lists, and deletes text files in the camera's Flash File System (FFS).;;Cross-Platform;Cross-Platform;xiApiPlus;C++;m3api, stdafx, xiApi;2022;Files;\\files\Public\Support\samples\xiAPI\xiSample_FFS_MQ.cpp;;;
xiSample_FPGA_ts_reg_read.cpp;XIMEA;Time synchronization / PTP;This code reads FPGA timestamp registers and compares camera and host times over multiple samples.;;Cross-Platform;Cross-Platform;xiApiPlus;C++;m3api, memory, stdafx, time, xiApi;2017;Files;\\files\Public\Support\samples\xiAPI\xiSample_FPGA_ts_reg_read.cpp;;;
xiSample_FPGA_ts_reg_read_MQ.cpp;XIMEA;Chunk / metadata / timestamps;This code reads FPGA timestamp registers from a camera and logs camera and host time measurements to a file.;;Cross-Platform;Cross-Platform;xiApiPlus;C++;m3api, memory, stdafx, time, xiApi;2021;Files;\\files\Public\Support\samples\xiAPI\xiSample_FPGA_ts_reg_read_MQ.cpp;;;
xiSample_GPI.cpp;XIMEA;Trigger / GPIO / I/O / strobe;This code captures 200 images while reading and printing the camera's GPI (General Purpose Input) level.;;Cross-Platform;Cross-Platform;xiApiPlus;C++;m3api, memory, stdafx, xiApi;2017;Files;\\files\Public\Support\samples\xiAPI\xiSample_GPI.cpp;;;
xiSample_GPI_fromImgHeader.cpp;XIMEA;Basic acquisition / image capture;This code captures images from a camera and reads the General Purpose Input (GPI) level from each image header.;;Cross-Platform;Cross-Platform;xiApiPlus;C++;m3api, memory, stdafx, xiApi;2018;Files;\\files\Public\Support\samples\xiAPI\xiSample_GPI_fromImgHeader.cpp;;;
xiSample_HDR_saveImg.cpp;XIMEA;Feature / parameter control;Configures sensor registers to set interleaved and multi-frame exposure times for XIMEA camera device.;;Cross-Platform;Cross-Platform;xiApiPlus;C++;m3api, memory, stdafx, xiApi;2017;Files;\\files\Public\Support\samples\xiAPI\xiSample_HDR_saveImg.cpp;;;
xiSample_IMX661_GS_MEMTR.cpp;XIMEA;Basic acquisition / image capture;This code captures 100 images from a camera and configures sensor registers and exposure settings.;;Cross-Platform;Cross-Platform;xiApiPlus;C++;m3api, memory, stdafx, xiApi;2025;Files;\\files\Public\Support\samples\xiAPI\xiSample_IMX661_GS_MEMTR.cpp;;;
xiSample_ImgMean.cpp;XIMEA;Basic acquisition / image capture;This code captures five images from a camera and calculates the mean pixel value of each image.;25;Cross-Platform;Cross-Platform;xiApiPlus;C++;m3api, memory, stdafx, xiApi;2020;Files;\\files\Public\Support\samples\xiAPI\xiSample_ImgMean.cpp;;;
xiSample_LUT.cpp;XIMEA;Firmware / file access / LUT;This code initializes a camera, sets a descending LUT, captures 100 images, and prints first pixel value each time.;;Cross-Platform;Cross-Platform;xiApiPlus;C++;m3api, memory, stdafx, xiApi;2019;Files;\\files\Public\Support\samples\xiAPI\xiSample_LUT.cpp;;;
xiSample_LineSelLineSource_GenTL.cpp;XIMEA;Feature / parameter control;Sets specific GenTL registers for line selection and line source, then captures 10 images from the camera.;;Cross-Platform;Cross-Platform;xiApiPlus;C++;m3api, memory, stdafx, xiApi;2020;Files;\\files\Public\Support\samples\xiAPI\xiSample_LineSelLineSource_GenTL.cpp;;;
xiSample_MQ_ExpActive.cpp;XIMEA;Feature / parameter control;This code sets a camera's exposure and GPO to exposure active mode, then captures and prints 10 images.;;Cross-Platform;Cross-Platform;xiApiPlus;C++;m3api, memory, stdafx, xiApi;2021;Files;\\files\Public\Support\samples\xiAPI\xiSample_MQ_ExpActive.cpp;;;
xiSample_MU181GPIlevel.cpp;XIMEA;Trigger / GPIO / I/O / strobe;Reads and logs the general purpose input (GPI) level from a camera for 120 samples.;;Cross-Platform;Cross-Platform;xiApiPlus;C++;m3api, memory, stdafx, xiApi;2021;Files;\\files\Public\Support\samples\xiAPI\xiSample_MU181GPIlevel.cpp;;;
xiSample_MU181Loopback.cpp;XIMEA;Trigger / GPIO / I/O / strobe;Reads GPI input levels and toggles GPO output mode on a camera device in a loopback test.;;Cross-Platform;Cross-Platform;xiApiPlus;C++;m3api, memory, stdafx, xiApi;2021;Files;\\files\Public\Support\samples\xiAPI\xiSample_MU181Loopback.cpp;;;
xiSample_MasterSlaveMU.cpp;XIMEA;Multi-camera acquisition;It captures synchronized images from two cameras configured as master and slave using hardware triggers.;;Cross-Platform;Cross-Platform;xiApiPlus;C++;m3api, memory, stdafx, unistd, xiApi;2017;Files;\\files\Public\Support\samples\xiAPI\xiSample_MasterSlaveMU.cpp;;;
xiSample_RAW8.cpp;XIMEA;Basic acquisition / image capture;Captures 10 RAW8 format images from the first connected XIMEA camera and prints the first pixel value of each.;25;Cross-Platform;Cross-Platform;xiApiPlus;C++;m3api, memory, stdafx, xiApi;2018;Files;\\files\Public\Support\samples\xiAPI\xiSample_RAW8.cpp;;;
xiSample_RAW8X2_X4_saveImg.cpp;XIMEA;Save images / video / sequences;Captures 10 images from a camera in different RAW data formats and saves some to raw files.;;Cross-Platform;Cross-Platform;xiApiPlus;C++;m3api, memory, stdafx, xiApi;2018;Files;\\files\Public\Support\samples\xiAPI\xiSample_RAW8X2_X4_saveImg.cpp;;;
